"Data","Grand-offspring generation","Mean","CI.lb","CI.ub","k","R2","row"
"One-off lnRR",,,,,,0.004,1
,"F2",0.087,-0.077,0.251,82,,2
,"F3",0.053,-0.116,0.222,317,,3
,"F2 – F3",-0.034,-0.085,0.016,,,4
"One-off lnCVR",,,,,,0.02,5
,"F2",0.056,-0.105,0.218,82,,6
,"F3",-0.089,-0.326,0.148,317,,7
,"F2 – F3",-0.146,-0.376,0.085,,,8
"Multigenerational lnRR",,,,,,0.009,9
,"F2",0.378,0.115,0.64,82,,10
,"F3",0.263,-0.038,0.565,317,,11
,"F2 – F3",-0.114,-0.299,0.07,,,12
"Multigenerational lnCVR",,,,,,0.002,13
,"F2",-0.084,-0.304,0.136,82,,14
,"F3",-0.025,-0.35,0.301,317,,15
,"F2 – F3",0.059,-0.249,0.368,,,16
